horizon,material,model,fold,train_end,test_start,test_end,n_test,n_observed,smape
10,1,naive,1,2023-12-27,2023-12-28,2024-01-10,10,9,0.1257788651650627
10,1,naive,2,2024-01-10,2024-01-11,2024-01-24,10,10,0.17095388982832715
10,1,naive,3,2024-01-24,2024-01-25,2024-02-07,10,10,0.18005375667343715
10,1,naive,4,2024-02-07,2024-02-08,2024-02-21,10,6,0.092236235430702
10,1,naive,5,2024-02-21,2024-02-22,2024-03-06,10,10,0.11766017436401835
10,1,naive,6,2024-03-06,2024-03-07,2024-03-20,10,10,0.08210209393216
10,1,naive,7,2024-03-20,2024-03-21,2024-04-03,10,10,0.18968797283682282
10,1,naive,8,2024-04-03,2024-04-04,2024-04-17,10,10,0.1798390598943372
10,1,naive,9,2024-04-17,2024-04-18,2024-05-01,10,10,0.27372899311896803
10,1,naive,10,2024-05-01,2024-05-02,2024-05-15,10,10,0.403385525650376
10,1,naive,11,2024-05-15,2024-05-16,2024-05-29,10,10,0.15811923102021952
10,1,naive,12,2024-05-29,2024-05-30,2024-06-12,10,10,0.1736017437354389
10,1,naive,13,2024-06-12,2024-06-13,2024-06-26,10,10,0.22178563168665433
10,1,naive,14,2024-06-26,2024-06-27,2024-07-10,10,10,0.10629657186683868
10,1,naive,15,2024-07-10,2024-07-11,2024-07-24,10,10,0.08041975402350487
10,1,naive,16,2024-07-24,2024-07-25,2024-08-07,10,10,0.09552775744822274
10,1,naive,17,2024-08-07,2024-08-08,2024-08-21,10,10,0.11131513600308914
10,1,naive,18,2024-08-21,2024-08-22,2024-09-04,10,10,0.07067294985021844
10,1,naive,19,2024-09-04,2024-09-05,2024-09-18,10,10,0.09963842008654791
10,1,naive,20,2024-09-18,2024-09-19,2024-10-02,10,10,0.09240521694453244
10,1,naive,21,2024-10-02,2024-10-03,2024-10-16,10,10,0.07950068538688605
10,1,naive,22,2024-10-16,2024-10-17,2024-10-30,10,10,0.08674398899451105
10,1,naive,23,2024-10-30,2024-10-31,2024-11-13,10,10,0.07739838910874211
10,1,naive,24,2024-11-13,2024-11-14,2024-11-27,10,10,0.10072602732200896
10,1,naive,25,2024-11-27,2024-11-28,2024-12-11,10,10,0.08923820877389987
10,1,naive,26,2024-12-11,2024-12-12,2024-12-25,10,9,0.09076857758606842
10,1,naive,27,2024-12-25,2024-12-26,2024-12-31,4,4,0.11348203035453319
10,2,naive,1,2023-12-27,2023-12-28,2024-01-10,10,9,2.0
10,2,naive,2,2024-01-10,2024-01-11,2024-01-24,10,10,0.2085428702456712
10,2,naive,3,2024-01-24,2024-01-25,2024-02-07,10,10,0.10293193197231354
10,2,naive,4,2024-02-07,2024-02-08,2024-02-21,10,6,0.08408561505858711
10,2,naive,5,2024-02-21,2024-02-22,2024-03-06,10,10,0.12101143141999447
10,2,naive,6,2024-03-06,2024-03-07,2024-03-20,10,10,0.04865934067289643
10,2,naive,7,2024-03-20,2024-03-21,2024-04-03,10,10,0.22333794130395757
